1;10.23;9.1;0.1;0.2;0.1;0.3;0.4;0.0;0.0
2;20.46;18.2;0.2;0.4;0.2;0.6;0.8;0.0;0.0
3;30.69;27.3;0.3;0.6;0.3;0.9;1.2;0.0;0.0
4;40.92;36.4;0.4;0.8;0.4;1.2;1.6;0.0;0.0
5;51.15;45.5;0.5;1.0;0.5;1.5;2.0;0.0;0.0
6;61.38;54.6;0.6;1.2;0.6;1.8;2.4;0.0;0.0
7;71.61;63.7;0.7;1.4;0.7;2.1;2.8;0.0;0.0
8;81.84;72.8;0.8;1.6;0.8;2.4;3.2;0.0;0.0
9;92.07;81.9;0.9;1.8;0.9;2.7;3.6;0.0;0.0
10;102.3;91.0;1.0;2.0;1.0;3.0;4.0;0.0;0.0
11;112.53;100.1;1.1;2.2;1.1;3.3;4.4;0.0;0.0
12;122.76;109.2;1.2;2.4;1.2;3.6;4.8;0.0;0.0
13;132.99;118.3;1.3;2.6;1.3;3.9;5.2;0.0;0.0
1;20.46;18.2;0.2;0.4;0.2;0.6;0.8;0.0;0.0
2;30.69;27.3;0.3;0.6;0.3;0.9;1.2;0.0;0.0
3;40.92;36.4;0.4;0.8;0.4;1.2;1.6;0.0;0.0
4;51.15;45.5;0.5;1.0;0.5;1.5;2.0;0.0;0.0
5;61.38;54.6;0.6;1.2;0.6;1.8;2.4;0.0;0.0
6;71.61;63.7;0.7;1.4;0.7;2.1;2.8;0.0;0.0
7;81.84;72.8;0.8;1.6;0.8;2.4;3.2;0.0;0.0
8;92.07;81.9;0.9;1.8;0.9;2.7;3.6;0.0;0.0
9;102.3;91.0;1.0;2.0;1.0;3.0;4.0;0.0;0.0
10;112.53;100.1;1.1;2.2;1.1;3.3;4.4;0.0;0.0
11;122.76;109.2;1.2;2.4;1.2;3.6;4.8;0.0;0.0
12;132.99;118.3;1.3;2.6;1.3;3.9;5.2;0.0;0.0
13;143.22;127.4;1.4;2.8;1.4;4.2;5.6;0.0;0.0
14;153.45;136.5;1.5;3.0;1.5;4.5;6.0;0.0;0.0
15;163.68;145.6;1.6;3.2;1.6;4.8;6.4;0.0;0.0
16;173.91;154.7;1.7;3.4;1.7;5.1;6.8;0.0;0.0
17;184.14;163.8;1.8;3.6;1.8;5.4;7.2;0.0;0.0
18;194.37;172.9;1.9;3.8;1.9;5.7;7.6;0.0;0.0
19;204.6;182.0;2.0;4.0;2.0;6.0;8.0;0.0;0.0
20;214.83;191.1;2.1;4.2;2.1;6.3;8.4;0.0;0.0
21;225.06;200.2;2.2;4.4;2.2;6.6;8.8;0.0;0.0
22;235.29;209.3;2.3;4.6;2.3;6.9;9.2;0.0;0.0
23;245.52;218.4;2.4;4.8;2.4;7.2;9.6;0.0;0.0
24;255.75;227.5;2.5;5.0;2.5;7.5;10.0;0.0;0.0
25;265.98;236.6;2.6;5.2;2.6;7.8;10.4;0.0;0.0
26;276.21;245.7;2.7;5.4;2.7;8.1;10.8;0.0;0.0
27;286.44;254.8;2.8;5.6;2.8;8.4;11.2;0.0;0.0
28;296.67;263.9;2.9;5.8;2.9;8.7;11.6;0.0;0.0
29;306.9;273.0;3.0;6.0;3.0;9.0;12.0;0.0;0.0
30;317.13;282.1;3.1;6.2;3.1;9.3;12.4;0.0;0.0
31;327.36;291.2;3.2;6.4;3.2;9.6;12.8;0.0;0.0
32;337.59;300.3;3.3;6.6;3.3;9.9;13.2;0.0;0.0
33;347.82;309.4;3.4;6.8;3.4;10.2;13.6;0.0;0.0
34;358.05;318.5;3.5;7.0;3.5;10.5;14.0;0.0;0.0
35;368.28;327.6;3.6;7.2;3.6;10.8;14.4;0.0;0.0
36;378.51;336.7;3.7;7.4;3.7;11.1;14.8;0.0;0.0
37;388.74;345.8;3.8;7.6;3.8;11.4;15.2;0.0;0.0
38;398.97;354.9;3.9;7.8;3.9;11.7;15.6;0.0;0.0
39;409.2;364.0;4.0;8.0;4.0;12.0;16.0;0.0;0.0
40;419.43;373.1;4.1;8.2;4.1;12.3;16.4;0.0;0.0
41;429.66;382.2;4.2;8.4;4.2;12.6;16.8;0.0;0.0
42;439.89;391.3;4.3;8.6;4.3;12.9;17.2;0.0;0.0
43;450.12;400.4;4.4;8.8;4.4;13.2;17.6;0.0;0.0
44;460.35;409.5;4.5;9.0;4.5;13.5;18.0;0.0;0.0
45;470.58;418.6;4.6;9.2;4.6;13.8;18.4;0.0;0.0
46;480.81;427.7;4.7;9.4;4.7;14.1;18.8;0.0;0.0
47;491.04;436.8;4.8;9.6;4.8;14.4;19.2;0.0;0.0
48;501.27;445.9;4.9;9.8;4.9;14.7;19.6;0.0;0.0
49;511.5;455.0;5.0;10.0;5.0;15.0;20.0;0.0;0.0
50;521.73;464.1;5.1;10.2;5.1;15.3;20.4;0.0;0.0
51;531.96;473.2;5.2;10.4;5.2;15.6;20.8;0.0;0.0
52;542.19;482.3;5.3;10.6;5.3;15.9;21.2;0.0;0.0
53;552.42;491.4;5.4;10.8;5.4;16.2;21.6;0.0;0.0
54;562.65;500.5;5.5;11.0;5.5;16.5;22.0;0.0;0.0
55;572.88;509.6;5.6;11.2;5.6;16.8;22.4;0.0;0.0
56;583.11;518.7;5.7;11.4;5.7;17.1;22.8;0.0;0.0
57;593.34;527.8;5.8;11.6;5.8;17.4;23.2;0.0;0.0
58;603.57;536.9;5.9;11.8;5.9;17.7;23.6;0.0;0.0
59;613.8;546.0;6.0;12.0;6.0;18.0;24.0;0.0;0.0
60;624.03;555.1;6.1;12.2;6.1;18.3;24.4;0.0;0.0
61;634.26;564.2;6.2;12.4;6.2;18.6;24.8;0.0;0.0
62;644.49;573.3;6.3;12.6;6.3;18.9;25.2;0.0;0.0
63;654.72;582.4;6.4;12.8;6.4;19.2;25.6;0.0;0.0
64;664.95;591.5;6.5;13.0;6.5;19.5;26.0;0.0;0.0
65;675.18;600.6;6.6;13.2;6.6;19.8;26.4;0.0;0.0
66;685.41;609.7;6.7;13.4;6.7;20.1;26.8;0.0;0.0
67;695.64;618.8;6.8;13.6;6.8;20.4;27.2;0.0;0.0
68;705.87;627.9;6.9;13.8;6.9;20.7;27.6;0.0;0.0
69;716.1;637.0;7.0;14.0;7.0;21.0;28.0;0.0;0.0
70;726.33;646.1;7.1;14.2;7.1;21.3;28.4;0.0;0.0
71;736.56;655.2;7.2;14.4;7.2;21.6;28.8;0.0;0.0
72;746.79;664.3;7.3;14.6;7.3;21.9;29.2;0.0;0.0
73;757.02;673.4;7.4;14.8;7.4;22.2;29.6;0.0;0.0
74;767.25;682.5;7.5;15.0;7.5;22.5;30.0;0.0;0.0
75;777.48;691.6;7.6;15.2;7.6;22.8;30.4;0.0;0.0
76;787.71;700.7;7.7;15.4;7.7;23.1;30.8;0.0;0.0
77;797.94;709.8;7.8;15.6;7.8;23.4;31.2;0.0;0.0
78;808.17;718.9;7.9;15.8;7.9;23.7;31.6;0.0;0.0
79;818.4;728.0;8.0;16.0;8.0;24.0;32.0;0.0;0.0
80;828.63;737.1;8.1;16.2;8.1;24.3;32.4;0.0;0.0
81;838.86;746.2;8.2;16.4;8.2;24.6;32.8;0.0;0.0
82;849.09;755.3;8.3;16.6;8.3;24.9;33.2;0.0;0.0
83;859.32;764.4;8.4;16.8;8.4;25.2;33.6;0.0;0.0
84;869.55;773.5;8.5;17.0;8.5;25.5;34.0;0.0;0.0
85;879.78;782.6;8.6;17.2;8.6;25.8;34.4;0.0;0.0
86;890.01;791.7;8.7;17.4;8.7;26.1;34.8;0.0;0.0
87;900.24;800.8;8.8;17.6;8.8;26.4;35.2;0.0;0.0
88;910.47;809.9;8.9;17.8;8.9;26.7;35.6;0.0;0.0
89;920.7;819.0;9.0;18.0;9.0;27.0;36.0;0.0;0.0
90;930.93;828.1;9.1;18.2;9.1;27.3;36.4;0.0;0.0
91;941.16;837.2;9.2;18.4;9.2;27.6;36.8;0.0;0.0
92;951.39;846.3;9.3;18.6;9.3;27.9;37.2;0.0;0.0
93;961.62;855.4;9.4;18.8;9.4;28.2;37.6;0.0;0.0
94;971.85;864.5;9.5;19.0;9.5;28.5;38.0;0.0;0.0
95;982.08;873.6;9.6;19.2;9.6;28.8;38.4;0.0;0.0
96;992.31;882.7;9.7;19.4;9.7;29.1;38.8;0.0;0.0
97;1002.54;891.8;9.8;19.6;9.8;29.4;39.2;0.0;0.0
98;1012.77;900.9;9.9;19.8;9.9;29.7;39.6;0.0;0.0
99;1023.0;910.0;10.0;20.0;10.0;30.0;40.0;0.0;0.0
100;1033.23;919.1;10.1;20.2;10.1;30.3;40.4;0.0;0.0
101;1043.46;928.2;10.2;20.4;10.2;30.6;40.8;0.0;0.0
102;1053.69;937.3;10.3;20.6;10.3;30.9;41.2;0.0;0.0
103;1063.92;946.4;10.4;20.8;10.4;31.2;41.6;0.0;0.0
104;1074.15;955.5;10.5;21.0;10.5;31.5;42.0;0.0;0.0
105;1084.38;964.6;10.6;21.2;10.6;31.8;42.4;0.0;0.0
106;1094.61;973.7;10.7;21.4;10.7;32.1;42.8;0.0;0.0
107;1104.84;982.8;10.8;21.6;10.8;32.4;43.2;0.0;0.0
108;1115.07;991.9;10.9;21.8;10.9;32.7;43.6;0.0;0.0
109;1125.3;1001.0;11.0;22.0;11.0;33.0;44.0;0.0;0.0
110;1135.53;1010.1;11.1;22.2;11.1;33.3;44.4;0.0;0.0
111;1145.76;1019.2;11.2;22.4;11.2;33.6;44.8;0.0;0.0
112;1155.99;1028.3;11.3;22.6;11.3;33.9;45.2;0.0;0.0
113;1166.22;1037.4;11.4;22.8;11.4;34.2;45.6;0.0;0.0
114;1176.45;1046.5;11.5;23.0;11.5;34.5;46.0;0.0;0.0
115;1186.68;1055.6;11.6;23.2;11.6;34.8;46.4;0.0;0.0
116;1196.91;1064.7;11.7;23.4;11.7;35.1;46.8;0.0;0.0
117;1207.14;1073.8;11.8;23.6;11.8;35.4;47.2;0.0;0.0
118;1217.37;1082.9;11.9;23.8;11.9;35.7;47.6;0.0;0.0
119;1227.6;1092.0;12.0;24.0;12.0;36.0;48.0;0.0;0.0
120;1237.83;1101.1;12.1;24.2;12.1;36.3;48.4;0.0;0.0
121;1248.06;1110.2;12.2;24.4;12.2;36.6;48.8;0.0;0.0
122;1258.29;1119.3;12.3;24.6;12.3;36.9;49.2;0.0;0.0
123;1268.52;1128.4;12.4;24.8;12.4;37.2;49.6;0.0;0.0
1;10.23;9.1;0.1;0.2;0.1;0.3;0.4;0.0;0.0
2;20.46;18.2;0.2;0.4;0.2;0.6;0.8;0.0;0.0
3;30.69;27.3;0.3;0.6;0.3;0.9;1.2;0.0;0.0
4;40.92;36.4;0.4;0.8;0.4;1.2;1.6;0.0;0.0
5;51.15;45.5;0.5;1.0;0.5;1.5;2.0;0.0;0.0
6;61.38;54.6;0.6;1.2;0.6;1.8;2.4;0.0;0.0
